-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
43,-78.125,2018,193,156
43.5,-79.375,2018,193,299
43.5,-78.75,2018,193,241.8
43.5,-78.125,2018,193,230.3
42,-79.375,2018,194,168.5
42,-78.75,2018,194,167
42,-78.125,2018,194,158.2
42.5,-79.375,2018,194,189.9
42.5,-78.75,2018,194,196.6
42.5,-78.125,2018,194,185.2
43,-79.375,2018,194,211.3
43,-78.75,2018,194,208.7
43,-78.125,2018,194,218.8
43.5,-79.375,2018,194,211.3
43.5,-78.75,2018,194,201.7
43.5,-78.125,2018,194,168.5
42,-79.375,2018,195,201.2
42,-78.75,2018,195,214
42,-78.125,2018,195,235.2
42.5,-79.375,2018,195,219
42.5,-78.75,2018,195,225.7
42.5,-78.125,2018,195,234.8
43,-79.375,2018,195,237.7
43,-78.75,2018,195,237.6
43,-78.125,2018,195,239
43.5,-79.375,2018,195,246.4
43.5,-78.75,2018,195,242.6
43.5,-78.125,2018,195,247.1
42,-79.375,2018,196,233.2
42,-78.75,2018,196,219.6
42,-78.125,2018,196,234.2
42.5,-79.375,2018,196,245.3
42.5,-78.75,2018,196,238.9
42.5,-78.125,2018,196,236.7
43,-79.375,2018,196,254.8
43,-78.75,2018,196,274.1
43,-78.125,2018,196,110
43.5,-79.375,2018,196,89.4
43.5,-78.75,2018,196,198.1
43.5,-78.125,2018,196,257.7
42,-79.375,2018,197,205.5
42,-78.75,2018,197,207.1
42,-78.125,2018,197,180
42.5,-79.375,2018,197,213.5
42.5,-78.75,2018,197,215.9
42.5,-78.125,2018,197,214.5
43,-79.375,2018,197,223.1
43,-78.75,2018,197,222.5
43,-78.125,2018,197,219.2
43.5,-79.375,2018,197,224.5
43.5,-78.75,2018,197,218.2
43.5,-78.125,2018,197,213.3
42,-79.375,2018,198,308.6
42,-78.75,2018,198,306.7
42,-78.125,2018,198,180
42.5,-79.375,2018,198,310.7
42.5,-78.75,2018,198,313.2
42.5,-78.125,2018,198,325.6
43,-79.375,2018,198,317.7
43,-78.75,2018,198,314.6
43,-78.125,2018,198,305.5
43.5,-79.375,2018,198,318.2
43.5,-78.75,2018,198,308.2
43.5,-78.125,2018,198,293.6
42,-79.375,2018,199,346.6
42,-78.75,2018,199,5.1
42,-78.125,2018,199,66.5
42.5,-79.375,2018,199,328
42.5,-78.75,2018,199,352.4
42.5,-78.125,2018,199,84
43,-79.375,2018,199,14
43,-78.75,2018,199,14
43,-78.125,2018,199,133.6
43.5,-79.375,2018,199,38
43.5,-78.75,2018,199,43.5
43.5,-78.125,2018,199,21.8
42,-79.375,2018,200,144.9
42,-78.75,2018,200,121.1
42,-78.125,2018,200,130.6
42.5,-79.375,2018,200,199.1
42.5,-78.75,2018,200,183.6
42.5,-78.125,2018,200,167.5
43,-79.375,2018,200,188
43,-78.75,2018,200,192.8
43,-78.125,2018,200,171.3
43.5,-79.375,2018,200,91
43.5,-78.75,2018,200,91.4
43.5,-78.125,2018,200,74.6
42,-79.375,2018,201,151.3
42,-78.75,2018,201,151.4
42,-78.125,2018,201,180
42.5,-79.375,2018,201,151.7
42.5,-78.75,2018,201,155
42.5,-78.125,2018,201,180
43,-79.375,2018,201,153.7
43,-78.75,2018,201,153.9
43,-78.125,2018,201,158.9
43.5,-79.375,2018,201,140
43.5,-78.75,2018,201,132.4
43.5,-78.125,2018,201,143.7
42,-79.375,2018,202,139.3
42,-78.75,2018,202,137.8
42,-78.125,2018,202,180
42.5,-79.375,2018,202,139.8
42.5,-78.75,2018,202,142.1
42.5,-78.125,2018,202,140.4
43,-79.375,2018,202,134.1
43,-78.75,2018,202,132.8
43,-78.125,2018,202,136.9
43.5,-79.375,2018,202,110.4
43.5,-78.75,2018,202,110.4
43.5,-78.125,2018,202,119.8
42,-79.375,2018,203,154.4
42,-78.75,2018,203,134.1
42,-78.125,2018,203,198.4
42.5,-79.375,2018,203,103.8
42.5,-78.75,2018,203,115.8
42.5,-78.125,2018,203,135
43,-79.375,2018,203,92.3
43,-78.75,2018,203,96.7
43,-78.125,2018,203,106.2
43.5,-79.375,2018,203,79.5
43.5,-78.75,2018,203,80
43.5,-78.125,2018,203,84.9
42,-79.375,2018,204,134.7
42,-78.75,2018,204,132.5
42,-78.125,2018,204,180
42.5,-79.375,2018,204,128.4
42.5,-78.75,2018,204,132.4
42.5,-78.125,2018,204,139.4
43,-79.375,2018,204,125.1
43,-78.75,2018,204,127.3
43,-78.125,2018,204,131.6
43.5,-79.375,2018,204,112.5
43.5,-78.75,2018,204,116.1
43.5,-78.125,2018,204,124
42,-79.375,2018,205,156.9
42,-78.75,2018,205,155.9
42,-78.125,2018,205,180
42.5,-79.375,2018,205,165.5
42.5,-78.75,2018,205,160
42.5,-78.125,2018,205,177.6
43,-79.375,2018,205,172.2
43,-78.75,2018,205,164.2
43,-78.125,2018,205,159.7
43.5,-79.375,2018,205,172.6
43.5,-78.75,2018,205,156.8
