-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data,,,,
Dates (month/day/year): 06/28/2018 through 06/28/2019 in LST,,,,
Location: Regional,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,
parameter(s):,,,,
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees),,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WD2M
41,-83.75,2018,179,301.7
41,-83.125,2018,179,301.8
41,-82.5,2018,179,304.7
41.5,-83.75,2018,179,297.8
41.5,-83.125,2018,179,295.9
41.5,-82.5,2018,179,298.6
42,-83.75,2018,179,299.2
42,-83.125,2018,179,293.7
42,-82.5,2018,179,292.8
42.5,-83.75,2018,179,298.2
42.5,-83.125,2018,179,299.4
42.5,-82.5,2018,179,299.6
41,-83.75,2018,180,200.2
41,-83.125,2018,180,203.2
41,-82.5,2018,180,212.4
41.5,-83.75,2018,180,207.4
41.5,-83.125,2018,180,211.7
41.5,-82.5,2018,180,220.6
42,-83.75,2018,180,208.3
42,-83.125,2018,180,213.2
42,-82.5,2018,180,218.4
42.5,-83.75,2018,180,209.1
42.5,-83.125,2018,180,212.2
42.5,-82.5,2018,180,213.3
41,-83.75,2018,181,203.8
41,-83.125,2018,181,203.6
41,-82.5,2018,181,206.9
41.5,-83.75,2018,181,208.6
41.5,-83.125,2018,181,208.5
41.5,-82.5,2018,181,208.9
42,-83.75,2018,181,212.1
42,-83.125,2018,181,211.3
42,-82.5,2018,181,211
42.5,-83.75,2018,181,215.4
42.5,-83.125,2018,181,215.5
42.5,-82.5,2018,181,212.9
41,-83.75,2018,182,192.8
41,-83.125,2018,182,190.7
41,-82.5,2018,182,190.1
41.5,-83.75,2018,182,196.5
41.5,-83.125,2018,182,193.9
41.5,-82.5,2018,182,193.4
42,-83.75,2018,182,198.7
42,-83.125,2018,182,195.4
42,-82.5,2018,182,194.3
42.5,-83.75,2018,182,199.6
42.5,-83.125,2018,182,196
42.5,-82.5,2018,182,193.2
41,-83.75,2018,183,239.5
41,-83.125,2018,183,219.7
41,-82.5,2018,183,212.7
41.5,-83.75,2018,183,274.9
41.5,-83.125,2018,183,235.9
41.5,-82.5,2018,183,216.1
42,-83.75,2018,183,291.1
42,-83.125,2018,183,263
42,-82.5,2018,183,232.8
42.5,-83.75,2018,183,294.3
42.5,-83.125,2018,183,281
42.5,-82.5,2018,183,260.4
41,-83.75,2018,184,114.8
41,-83.125,2018,184,111.7
41,-82.5,2018,184,98.3
41.5,-83.75,2018,184,88.9
41.5,-83.125,2018,184,82.7
41.5,-82.5,2018,184,76.8
42,-83.75,2018,184,93.5
42,-83.125,2018,184,83.3
42,-82.5,2018,184,76.1
42.5,-83.75,2018,184,110.9
42.5,-83.125,2018,184,99.5
42.5,-82.5,2018,184,92.9
41,-83.75,2018,185,221.7
41,-83.125,2018,185,237.9
41,-82.5,2018,185,237.3
41.5,-83.75,2018,185,193.1
41.5,-83.125,2018,185,180.5
41.5,-82.5,2018,185,171.1
42,-83.75,2018,185,166.6
42,-83.125,2018,185,144.4
42,-82.5,2018,185,130.1
42.5,-83.75,2018,185,162.4
42.5,-83.125,2018,185,142.1
42.5,-82.5,2018,185,121.4
41,-83.75,2018,186,263.5
41,-83.125,2018,186,255.8
41,-82.5,2018,186,246.4
41.5,-83.75,2018,186,266.8
41.5,-83.125,2018,186,259.4
41.5,-82.5,2018,186,247.7
42,-83.75,2018,186,275.9
42,-83.125,2018,186,270.3
42,-82.5,2018,186,254.1
42.5,-83.75,2018,186,284.1
42.5,-83.125,2018,186,282.2
42.5,-82.5,2018,186,265.8
41,-83.75,2018,187,29.5
41,-83.125,2018,187,24.2
41,-82.5,2018,187,13.7
41.5,-83.75,2018,187,28.4
41.5,-83.125,2018,187,23.7
41.5,-82.5,2018,187,14.1
42,-83.75,2018,187,23.4
42,-83.125,2018,187,20.3
42,-82.5,2018,187,11.2
42.5,-83.75,2018,187,19.8
42.5,-83.125,2018,187,14.5
42.5,-82.5,2018,187,6.6
41,-83.75,2018,188,71.8
41,-83.125,2018,188,68.8
41,-82.5,2018,188,67.1
41.5,-83.75,2018,188,80
41.5,-83.125,2018,188,75.9
41.5,-82.5,2018,188,68.3
42,-83.75,2018,188,89.6
42,-83.125,2018,188,84
42,-82.5,2018,188,74.3
42.5,-83.75,2018,188,100.3
42.5,-83.125,2018,188,95.6
42.5,-82.5,2018,188,90.4
41,-83.75,2018,189,134.6
41,-83.125,2018,189,136.8
41,-82.5,2018,189,139.1
41.5,-83.75,2018,189,150.2
41.5,-83.125,2018,189,145.1
41.5,-82.5,2018,189,140.8
42,-83.75,2018,189,163.9
42,-83.125,2018,189,155.3
42,-82.5,2018,189,150
42.5,-83.75,2018,189,182.5
42.5,-83.125,2018,189,173.9
42.5,-82.5,2018,189,168.7
41,-83.75,2018,190,262.3
41,-83.125,2018,190,261
41,-82.5,2018,190,255
41.5,-83.75,2018,190,259.3
41.5,-83.125,2018,190,255.9
41.5,-82.5,2018,190,249.7
42,-83.75,2018,190,259.6
42,-83.125,2018,190,257.1
42,-82.5,2018,190,249.1
42.5,-83.75,2018,190,258.1
42.5,-83.125,2018,190,258.7
42.5,-82.5,2018,190,252.4
41,-83.75,2018,191,314.9
41,-83.125,2018,191,323.3
41,-82.5,2018,191,319.9
41.5,-83.75,2018,191,343.7
41.5,-83.125,2018,191,353.6
41.5,-82.5,2018,191,337.8
42,-83.75,2018,191,4.3
42,-83.125,2018,191,5.7
42,-82.5,2018,191,348.8
42.5,-83.75,2018,191,8.4
42.5,-83.125,2018,191,4.1
42.5,-82.5,2018,191,354
41,-83.75,2018,192,52.2
41,-83.125,2018,192,40.1
41,-82.5,2018,192,27.3
41.5,-83.75,2018,192,58.7
41.5,-83.125,2018,192,47.8
41.5,-82.5,2018,192,32.8
42,-83.75,2018,192,53.8
42,-83.125,2018,192,47.4
42,-82.5,2018,192,29
42.5,-83.75,2018,192,42.8
42.5,-83.125,2018,192,34.1
42.5,-82.5,2018,192,18.9
41,-83.75,2018,193,88.2
41,-83.125,2018,193,75.3
41,-82.5,2018,193,65.8
41.5,-83.75,2018,193,108.2
41.5,-83.125,2018,193,91.7
41.5,-82.5,2018,193,77.4
42,-83.75,2018,193,127.8
42,-83.125,2018,193,113.4
42,-82.5,2018,193,98.1
42.5,-83.75,2018,193,149
42.5,-83.125,2018,193,142.8
42.5,-82.5,2018,193,135.5
41,-83.75,2018,194,159.6
41,-83.125,2018,194,175.2
41,-82.5,2018,194,186.2
41.5,-83.75,2018,194,189.9
41.5,-83.125,2018,194,184.2
41.5,-82.5,2018,194,181.1
42,-83.75,2018,194,206.9
42,-83.125,2018,194,186.3
42,-82.5,2018,194,180.5
42.5,-83.75,2018,194,215.7
42.5,-83.125,2018,194,201.1
42.5,-82.5,2018,194,196.2
41,-83.75,2018,195,216.7
41,-83.125,2018,195,215
41,-82.5,2018,195,218.7
41.5,-83.75,2018,195,239.4
41.5,-83.125,2018,195,227.4
41.5,-82.5,2018,195,219.9
42,-83.75,2018,195,253
42,-83.125,2018,195,239.2
42,-82.5,2018,195,225.1
42.5,-83.75,2018,195,248.5
42.5,-83.125,2018,195,251.2
42.5,-82.5,2018,195,245.1
41,-83.75,2018,196,206
41,-83.125,2018,196,211.3
41,-82.5,2018,196,226.8
41.5,-83.75,2018,196,164.2
41.5,-83.125,2018,196,131
41.5,-82.5,2018,196,108.8
42,-83.75,2018,196,180.2
42,-83.125,2018,196,118.4
42,-82.5,2018,196,108.7
42.5,-83.75,2018,196,250.4
42.5,-83.125,2018,196,233.6
42.5,-82.5,2018,196,243.7
41,-83.75,2018,197,231.5
41,-83.125,2018,197,218.4
41,-82.5,2018,197,217.2
41.5,-83.75,2018,197,245.6
41.5,-83.125,2018,197,237.2
41.5,-82.5,2018,197,224.9
42,-83.75,2018,197,254.6
42,-83.125,2018,197,246.5
42,-82.5,2018,197,227
42.5,-83.75,2018,197,262.4
42.5,-83.125,2018,197,254.5
42.5,-82.5,2018,197,232.9
41,-83.75,2018,198,332.7
41,-83.125,2018,198,339.6
41,-82.5,2018,198,342.6
41.5,-83.75,2018,198,335.3
41.5,-83.125,2018,198,346.2
41.5,-82.5,2018,198,346.5
42,-83.75,2018,198,339.9
42,-83.125,2018,198,348.3
42,-82.5,2018,198,347.6
42.5,-83.75,2018,198,339.1
42.5,-83.125,2018,198,344.5
42.5,-82.5,2018,198,347.5
41,-83.75,2018,199,72.5
41,-83.125,2018,199,58.2
41,-82.5,2018,199,32
41.5,-83.75,2018,199,68.6
41.5,-83.125,2018,199,59
41.5,-82.5,2018,199,31.9
42,-83.75,2018,199,62.8
42,-83.125,2018,199,56.5
42,-82.5,2018,199,25.8
42.5,-83.75,2018,199,22.9
42.5,-83.125,2018,199,24.1
42.5,-82.5,2018,199,11.8
41,-83.75,2018,200,143
41,-83.125,2018,200,142.8
41,-82.5,2018,200,137.9
41.5,-83.75,2018,200,141.3
41.5,-83.125,2018,200,129
41.5,-82.5,2018,200,118
42,-83.75,2018,200,141.4
42,-83.125,2018,200,129.2
42,-82.5,2018,200,117.1
42.5,-83.75,2018,200,150.2
42.5,-83.125,2018,200,144.4
42.5,-82.5,2018,200,134.5
41,-83.75,2018,201,166.8
41,-83.125,2018,201,162.5
41,-82.5,2018,201,164.9
41.5,-83.75,2018,201,166.7
41.5,-83.125,2018,201,163.6
41.5,-82.5,2018,201,164
42,-83.75,2018,201,160.5
42,-83.125,2018,201,160.2
42,-82.5,2018,201,162
42.5,-83.75,2018,201,149.4
42.5,-83.125,2018,201,151.4
42.5,-82.5,2018,201,156.2
41,-83.75,2018,202,177.6
41,-83.125,2018,202,174.5
41,-82.5,2018,202,162.9
41.5,-83.75,2018,202,163.8
41.5,-83.125,2018,202,159.2
41.5,-82.5,2018,202,153.3
42,-83.75,2018,202,141.3
42,-83.125,2018,202,144.1
42,-82.5,2018,202,146
42.5,-83.75,2018,202,129.3
42.5,-83.125,2018,202,129.6
42.5,-82.5,2018,202,134.6
41,-83.75,2018,203,42
41,-83.125,2018,203,42.6
41,-82.5,2018,203,38.1
41.5,-83.75,2018,203,42.4
41.5,-83.125,2018,203,44.2
41.5,-82.5,2018,203,44
42,-83.75,2018,203,38.9
42,-83.125,2018,203,41.8
42,-82.5,2018,203,41.7
42.5,-83.75,2018,203,36.5
42.5,-83.125,2018,203,34.9
42.5,-82.5,2018,203,33.7
41,-83.75,2018,204,352.4
41,-83.125,2018,204,12.7
41,-82.5,2018,204,103.9
41.5,-83.75,2018,204,28.4
41.5,-83.125,2018,204,37.5
41.5,-82.5,2018,204,51.1
42,-83.75,2018,204,140.4
42,-83.125,2018,204,68.1
42,-82.5,2018,204,62.5
42.5,-83.75,2018,204,159.2
42.5,-83.125,2018,204,139.5
42.5,-82.5,2018,204,112
41,-83.75,2018,205,266.6
41,-83.125,2018,205,245.8
41,-82.5,2018,205,238.2
41.5,-83.75,2018,205,263.7
41.5,-83.125,2018,205,246.7
41.5,-82.5,2018,205,242.8
42,-83.75,2018,205,268.7
42,-83.125,2018,205,246.6
42,-82.5,2018,205,238.8
42.5,-83.75,2018,205,283.5
42.5,-83.125,2018,205,258.1
42.5,-82.5,2018,205,239.8
41,-83.75,2018,206,322.9
41,-83.125,2018,206,327
41,-82.5,2018,206,330
41.5,-83.75,2018,206,320
41.5,-83.125,2018,206,331.8
41.5,-82.5,2018,206,330
42,-83.75,2018,206,325.2
42,-83.125,2018,206,337.3
42,-82.5,2018,206,340
42.5,-83.75,2018,206,324.7
42.5,-83.125,2018,206,336.5
42.5,-82.5,2018,206,345.8
41,-83.75,2018,207,256.3
41,-83.125,2018,207,252
41,-82.5,2018,207,245
41.5,-83.75,2018,207,257
41.5,-83.125,2018,207,256.1
41.5,-82.5,2018,207,247.8
42,-83.75,2018,207,262.1
42,-83.125,2018,207,262.4
42,-82.5,2018,207,251.3
42.5,-83.75,2018,207,264.4
42.5,-83.125,2018,207,261.8
42.5,-82.5,2018,207,253.7
41,-83.75,2018,208,273.5
41,-83.125,2018,208,270.4
41,-82.5,2018,208,271.9
41.5,-83.75,2018,208,271.8
41.5,-83.125,2018,208,271.6
41.5,-82.5,2018,208,276.4
42,-83.75,2018,208,275.5
42,-83.125,2018,208,276
42,-82.5,2018,208,275.2
42.5,-83.75,2018,208,275.9
42.5,-83.125,2018,208,272.9
42.5,-82.5,2018,208,269.2
41,-83.75,2018,209,298.1
41,-83.125,2018,209,298.5
41,-82.5,2018,209,301
41.5,-83.75,2018,209,286.1
41.5,-83.125,2018,209,290.2
41.5,-82.5,2018,209,295.4
42,-83.75,2018,209,292.2
42,-83.125,2018,209,296.5
42,-82.5,2018,209,298
42.5,-83.75,2018,209,299.1
42.5,-83.125,2018,209,301.3
42.5,-82.5,2018,209,301.4
41,-83.75,2018,210,256.7
41,-83.125,2018,210,229.4
41,-82.5,2018,210,227.6
41.5,-83.75,2018,210,260.6
41.5,-83.125,2018,210,238.9
41.5,-82.5,2018,210,227.6
42,-83.75,2018,210,266.9
42,-83.125,2018,210,236.6
42,-82.5,2018,210,221.9
42.5,-83.75,2018,210,303.1
42.5,-83.125,2018,210,257.6
42.5,-82.5,2018,210,232.1
41,-83.75,2018,211,30.1
41,-83.125,2018,211,43.1
41,-82.5,2018,211,43.7
41.5,-83.75,2018,211,248
41.5,-83.125,2018,211,55.2
41.5,-82.5,2018,211,26.8
42,-83.75,2018,211,187.6
42,-83.125,2018,211,194.1
42,-82.5,2018,211,186
42.5,-83.75,2018,211,112.3
42.5,-83.125,2018,211,141.7
42.5,-82.5,2018,211,156.3
41,-83.75,2018,212,49.6
41,-83.125,2018,212,103.9
41,-82.5,2018,212,118.5
41.5,-83.75,2018,212,41
41.5,-83.125,2018,212,76.8
41.5,-82.5,2018,212,95.9
42,-83.75,2018,212,43
42,-83.125,2018,212,65.3
42,-82.5,2018,212,79.6
42.5,-83.75,2018,212,49.9
42.5,-83.125,2018,212,56.5
42.5,-82.5,2018,212,69.5
41,-83.75,2018,213,267.1
41,-83.125,2018,213,248.6
41,-82.5,2018,213,235.3
41.5,-83.75,2018,213,272.3
41.5,-83.125,2018,213,254.1
41.5,-82.5,2018,213,238
42,-83.75,2018,213,281.8
42,-83.125,2018,213,263.2
42,-82.5,2018,213,240.3
42.5,-83.75,2018,213,290
42.5,-83.125,2018,213,286.7
42.5,-82.5,2018,213,253.3
41,-83.75,2018,214,202.1
41,-83.125,2018,214,200.2
41,-82.5,2018,214,203
41.5,-83.75,2018,214,208.2
41.5,-83.125,2018,214,206.1
41.5,-82.5,2018,214,207.7
42,-83.75,2018,214,211.9
42,-83.125,2018,214,208.1
42,-82.5,2018,214,209.4
42.5,-83.75,2018,214,212.6
42.5,-83.125,2018,214,207.6
42.5,-82.5,2018,214,207.2
41,-83.75,2018,215,224.8
41,-83.125,2018,215,214.7
41,-82.5,2018,215,212.2
41.5,-83.75,2018,215,230.2
41.5,-83.125,2018,215,221.9
41.5,-82.5,2018,215,212.3
42,-83.75,2018,215,231
42,-83.125,2018,215,222.7
42,-82.5,2018,215,207.6
42.5,-83.75,2018,215,238.7
42.5,-83.125,2018,215,221.8
42.5,-82.5,2018,215,208.1
41,-83.75,2018,216,244.6
41,-83.125,2018,216,244.2
41,-82.5,2018,216,239.7
41.5,-83.75,2018,216,229.4
41.5,-83.125,2018,216,228.5
41.5,-82.5,2018,216,230.1
42,-83.75,2018,216,216.4
42,-83.125,2018,216,207.4
42,-82.5,2018,216,216.8
42.5,-83.75,2018,216,197.9
42.5,-83.125,2018,216,193.3
42.5,-82.5,2018,216,202.1
41,-83.75,2018,217,227
41,-83.125,2018,217,226.1
41,-82.5,2018,217,227.4
41.5,-83.75,2018,217,228.5
41.5,-83.125,2018,217,228.3
41.5,-82.5,2018,217,225.4
42,-83.75,2018,217,230.1
42,-83.125,2018,217,228.4
42,-82.5,2018,217,221.3
42.5,-83.75,2018,217,229.3
42.5,-83.125,2018,217,227.3
42.5,-82.5,2018,217,219.5
41,-83.75,2018,218,219.5
41,-83.125,2018,218,218.3
41,-82.5,2018,218,219.1
41.5,-83.75,2018,218,218.7
41.5,-83.125,2018,218,220.9
41.5,-82.5,2018,218,221.5
42,-83.75,2018,218,219.1
42,-83.125,2018,218,223.2
42,-82.5,2018,218,225.2
42.5,-83.75,2018,218,221.9
42.5,-83.125,2018,218,224.6
42.5,-82.5,2018,218,225.8
41,-83.75,2018,219,244
41,-83.125,2018,219,241.2
41,-82.5,2018,219,240.1
41.5,-83.75,2018,219,245.2
41.5,-83.125,2018,219,242
41.5,-82.5,2018,219,241.7
42,-83.75,2018,219,251.6
42,-83.125,2018,219,239.1
42,-82.5,2018,219,237.8
42.5,-83.75,2018,219,272.6
42.5,-83.125,2018,219,254.8
42.5,-82.5,2018,219,253.6
41,-83.75,2018,220,256
41,-83.125,2018,220,250.9
41,-82.5,2018,220,247.1
41.5,-83.75,2018,220,262.5
41.5,-83.125,2018,220,255.9
41.5,-82.5,2018,220,249.7
42,-83.75,2018,220,278.4
42,-83.125,2018,220,265.2
42,-82.5,2018,220,255.6
42.5,-83.75,2018,220,294.2
42.5,-83.125,2018,220,283.6
42.5,-82.5,2018,220,275.4
41,-83.75,2018,221,270.5
41,-83.125,2018,221,270.9
41,-82.5,2018,221,271.3
41.5,-83.75,2018,221,267.8
41.5,-83.125,2018,221,270
41.5,-82.5,2018,221,270.9
42,-83.75,2018,221,271.9
42,-83.125,2018,221,276.3
42,-82.5,2018,221,269.5
42.5,-83.75,2018,221,270.4
42.5,-83.125,2018,221,273.3
42.5,-82.5,2018,221,267.7
41,-83.75,2018,222,315.5
41,-83.125,2018,222,316.3
41,-82.5,2018,222,301.5
41.5,-83.75,2018,222,63.6
41.5,-83.125,2018,222,51.6
41.5,-82.5,2018,222,32.3
42,-83.75,2018,222,68.7
42,-83.125,2018,222,53.3
42,-82.5,2018,222,37.7
42.5,-83.75,2018,222,60.6
42.5,-83.125,2018,222,46.3
42.5,-82.5,2018,222,31.8
